time,open,high,low,close,volume
2022-10-24 20:00:00,149.55,149.6,149.52,149.59,5474
2022-10-24 19:55:00,149.53,149.58,149.52,149.55,5435
2022-10-24 19:50:00,149.53,149.54,149.5,149.53,6340
2022-10-24 19:45:00,149.55,149.55,149.53,149.53,1448
2022-10-24 19:40:00,149.59,149.6,149.55,149.57,2267
2022-10-24 19:35:00,149.54,149.59,149.53,149.59,3900
2022-10-24 19:30:00,149.56,149.56,149.53,149.55,2491
2022-10-24 19:25:00,149.6001,149.6001,149.58,149.58,374
2022-10-24 19:20:00,149.6,149.61,149.6,149.6,7649
2022-10-24 19:15:00,149.62,149.65,149.62,149.65,6299
2022-10-24 19:10:00,149.52,149.64,149.52,149.62,7727
2022-10-24 19:05:00,149.54,149.55,149.51,149.53,1612
2022-10-24 19:00:00,149.54,149.54,149.46,149.54,1500
2022-10-24 18:55:00,149.47,149.5,149.45,149.5,1434
2022-10-24 18:50:00,149.47,149.51,149.46,149.51,1280
2022-10-24 18:45:00,149.54,149.55,149.47,149.5,2493
2022-10-24 18:40:00,149.47,149.47,149.43,149.43,719
2022-10-24 18:35:00,149.45,149.5,149.44,149.5,2550
2022-10-24 18:30:00,149.52,149.54,149.43,149.43,3898
2022-10-24 18:25:00,149.45,149.56,149.45,149.5,1488
2022-10-24 18:20:00,149.55,149.55,149.44,149.45,7164
2022-10-24 18:15:00,149.51,149.58,149.51,149.56,3487
2022-10-24 18:10:00,149.44,149.5,149.42,149.5,1683
2022-10-24 18:05:00,149.43,149.5,149.43,149.44,3233
2022-10-24 18:00:00,149.41,149.41,149.41,149.41,904
2022-10-24 17:55:00,149.49,149.49,149.44,149.48,1638
2022-10-24 17:50:00,149.5,149.5,149.48,149.4963,1031
2022-10-24 17:45:00,149.5039,149.51,149.45,149.51,3760
2022-10-24 17:40:00,149.4875,149.53,149.42,149.45,8959
2022-10-24 17:35:00,149.47,149.5,149.45,149.45,24764
2022-10-24 17:30:00,149.54,149.55,149.42,149.42,7730
2022-10-24 17:25:00,149.51,149.56,149.5,149.52,8037
2022-10-24 17:20:00,149.46,149.52,149.45,149.5,18756
2022-10-24 17:15:00,149.4499,149.49,149.42,149.45,5928
2022-10-24 17:10:00,149.4,149.44,149.4,149.44,1492
2022-10-24 17:05:00,149.36,149.4,149.28,149.4,12575
2022-10-24 17:00:00,149.38,149.38,149.35,149.35,4437
2022-10-24 16:55:00,149.42,149.42,149.36,149.36,5311
2022-10-24 16:50:00,149.34,149.44,149.34,149.41,4140
2022-10-24 16:45:00,149.35,149.45,149.32,149.35,11376
2022-10-24 16:40:00,149.38,149.44,149.29,149.33,16454
2022-10-24 16:35:00,149.44,149.48,149.35,149.44,187974
2022-10-24 16:30:00,149.38,149.44,149.36,149.43,4594
2022-10-24 16:25:00,149.47,149.47,149.36,149.36,11105
2022-10-24 16:20:00,149.47,149.48,149.45,149.45,8094
2022-10-24 16:15:00,149.45,149.48,149.4,149.48,610793
2022-10-24 16:10:00,149.48,149.5,149.42,149.42,138955
2022-10-24 16:05:00,149.45,149.68,149.45,149.46,1014229
2022-10-24 16:00:00,149.155,149.63,149.14,149.56,2574557
2022-10-24 15:55:00,149.49,149.62,149.13,149.16,1353754
2022-10-24 15:50:00,149.68,149.71,149.47,149.485,1095851
2022-10-24 15:45:00,149.795,149.82,149.67,149.6827,919296
2022-10-24 15:40:00,149.89,149.94,149.76,149.795,674145
2022-10-24 15:35:00,149.975,150.04,149.79,149.88,714462
2022-10-24 15:30:00,150.009,150.13,149.93,149.98,763015
2022-10-24 15:25:00,150.2011,150.205,149.8901,150.01,784452
2022-10-24 15:20:00,150.03,150.23,150.0,150.2099,894812
2022-10-24 15:15:00,149.84,150.0699,149.83,150.0316,784589
2022-10-24 15:10:00,150.0636,150.15,149.77,149.8485,1058894
2022-10-24 15:05:00,149.785,150.09,149.72,150.07,1609562
2022-10-24 15:00:00,149.6849,149.87,149.58,149.7897,807332
2022-10-24 14:55:00,149.6664,149.73,149.52,149.69,535644
2022-10-24 14:50:00,149.51,149.69,149.42,149.665,744181
2022-10-24 14:45:00,149.45,149.66,149.275,149.5053,918343
2022-10-24 14:40:00,149.32,149.46,149.25,149.4451,536475
2022-10-24 14:35:00,149.28,149.41,149.24,149.315,499510
2022-10-24 14:30:00,149.245,149.365,149.17,149.285,565721
2022-10-24 14:25:00,149.185,149.25,149.0806,149.25,511383
2022-10-24 14:20:00,149.065,149.2,149.0301,149.18,549760
2022-10-24 14:15:00,148.8714,149.09,148.82,149.0674,643181
2022-10-24 14:10:00,148.81,148.945,148.75,148.87,412184
2022-10-24 14:05:00,148.56,148.89,148.5,148.81,565461
2022-10-24 14:00:00,148.63,148.6894,148.49,148.55,287378
2022-10-24 13:55:00,148.6,148.7,148.5,148.63,400609
2022-10-24 13:50:00,148.49,148.64,148.41,148.6,540444
2022-10-24 13:45:00,148.25,148.5,148.23,148.475,509326
2022-10-24 13:40:00,148.27,148.31,148.061,148.2489,402107
2022-10-24 13:35:00,148.07,148.385,147.93,148.2692,522120
2022-10-24 13:30:00,148.07,148.16,147.91,148.08,510539
2022-10-24 13:25:00,148.13,148.15,147.94,148.06,477071
2022-10-24 13:20:00,148.26,148.29,148.08,148.1219,468044
2022-10-24 13:15:00,148.4699,148.47,148.131,148.265,396895
2022-10-24 13:10:00,148.4601,148.52,148.28,148.47,411438
2022-10-24 13:05:00,148.5,148.53,148.3,148.46,686823
2022-10-24 13:00:00,148.6459,148.73,148.45,148.495,520831
2022-10-24 12:55:00,148.57,148.68,148.491,148.6459,327685
2022-10-24 12:50:00,148.56,148.68,148.51,148.56,427324
2022-10-24 12:45:00,148.5507,148.58,148.31,148.57,635529
2022-10-24 12:40:00,148.525,148.715,148.38,148.55,637596
2022-10-24 12:35:00,148.435,148.68,148.26,148.54,900184
2022-10-24 12:30:00,148.78,148.8,148.42,148.4361,511872
2022-10-24 12:25:00,148.56,148.82,148.35,148.78,744144
2022-10-24 12:20:00,148.25,148.63,148.21,148.55,633439
2022-10-24 12:15:00,148.215,148.4,148.215,148.2528,419755
2022-10-24 12:10:00,148.305,148.44,148.185,148.205,461307
2022-10-24 12:05:00,148.47,148.73,148.2599,148.31,1035410
2022-10-24 12:00:00,148.2601,148.49,148.19,148.475,803003
2022-10-24 11:55:00,147.76,148.34,147.65,148.27,888747
2022-10-24 11:50:00,147.7292,147.798,147.53,147.755,609419
2022-10-24 11:45:00,148.025,148.04,147.69,147.725,645215
2022-10-24 11:40:00,147.92,148.23,147.81,148.02,591949
2022-10-24 11:35:00,148.2199,148.22,147.855,147.91,577110
2022-10-24 11:30:00,148.21,148.4,147.99,148.21,694861
2022-10-24 11:25:00,148.0,148.45,148.0,148.21,862566
2022-10-24 11:20:00,148.0401,148.26,147.8,147.9951,968849
2022-10-24 11:15:00,147.61,148.135,147.47,148.045,976939
2022-10-24 11:10:00,147.4969,147.755,147.45,147.6,607878
2022-10-24 11:05:00,147.6813,147.82,147.41,147.4942,637834
2022-10-24 11:00:00,147.1513,147.75,147.05,147.69,969196
2022-10-24 10:55:00,146.5601,147.31,146.55,147.16,991773
2022-10-24 10:50:00,146.93,146.93,146.49,146.57,643432
2022-10-24 10:45:00,147.19,147.36,146.825,146.93,636852
2022-10-24 10:40:00,146.885,147.37,146.86,147.18,1124074
2022-10-24 10:35:00,146.6301,146.93,146.47,146.88,1017196
2022-10-24 10:30:00,146.18,146.6876,146.03,146.6302,917024
2022-10-24 10:25:00,146.69,147.31,146.0,146.18,1016339
2022-10-24 10:20:00,146.66,146.74,146.25,146.67,876739
2022-10-24 10:15:00,146.46,146.83,146.44,146.665,799054
2022-10-24 10:10:00,147.02,147.18,146.37,146.47,1214015
2022-10-24 10:05:00,148.29,148.34,146.96,147.01,1542157
2022-10-24 10:00:00,147.8877,148.2811,147.68,148.2811,1564409
2022-10-24 09:55:00,147.08,147.91,147.03,147.871,1418282
2022-10-24 09:50:00,146.98,148.35,146.92,147.08,2471619
2022-10-24 09:45:00,147.48,147.5599,146.71,146.98,1642032
2022-10-24 09:40:00,146.7,147.8,146.61,147.47,2083581
2022-10-24 09:35:00,147.185,147.98,146.25,146.705,3017488
2022-10-24 09:30:00,147.13,147.35,147.0,147.11,52470
2022-10-24 09:25:00,147.0697,147.17,146.93,147.17,35494
2022-10-24 09:20:00,147.24,147.24,146.87,146.99,67912
2022-10-24 09:15:00,147.24,147.27,147.11,147.2,27507
2022-10-24 09:10:00,147.29,147.3,147.05,147.23,43937
2022-10-24 09:05:00,147.25,147.33,147.12,147.31,25626
2022-10-24 09:00:00,147.18,147.29,147.07,147.24,32130
2022-10-24 08:55:00,147.11,147.42,147.11,147.17,39070
2022-10-24 08:50:00,147.14,147.29,147.11,147.14,17843
2022-10-24 08:45:00,147.0,147.14,146.95,147.12,27094
2022-10-24 08:40:00,147.07,147.07,146.81,147.0,33632
2022-10-24 08:35:00,147.04,147.08,146.41,147.0,32762
2022-10-24 08:30:00,146.99,147.07,146.56,147.07,18981
2022-10-24 08:25:00,147.42,147.42,146.8,146.9999,61691
2022-10-24 08:20:00,147.56,147.6265,147.32,147.46,27393
2022-10-24 08:15:00,147.5601,147.6399,147.5501,147.57,17735
2022-10-24 08:10:00,147.62,147.74,147.54,147.55,13638
2022-10-24 08:05:00,147.39,148.13,146.902,147.6001,503510
2022-10-24 08:00:00,147.72,147.91,147.72,147.83,5307
2022-10-24 07:55:00,147.93,147.94,147.64,147.66,15905
2022-10-24 07:50:00,147.79,148.15,147.7,147.88,36499
2022-10-24 07:45:00,147.51,147.78,147.44,147.78,20803
2022-10-24 07:40:00,147.69,147.73,147.5,147.5,14690
2022-10-24 07:35:00,147.55,147.99,147.5,147.7,25689
2022-10-24 07:30:00,147.3,147.55,147.3,147.55,12529
2022-10-24 07:25:00,147.33,147.35,147.26,147.35,18595
2022-10-24 07:20:00,147.36,147.42,147.3,147.4,18836
2022-10-24 07:15:00,147.22,147.4,147.22,147.33,13045
2022-10-24 07:10:00,147.46,147.46,147.22,147.26,44176
2022-10-24 07:05:00,147.27,147.53,147.2,147.46,32645
2022-10-24 07:00:00,146.87,147.27,146.87,147.26,14460
2022-10-24 06:55:00,146.68,146.97,146.68,146.83,9734
2022-10-24 06:50:00,146.75,146.75,146.65,146.74,4749
2022-10-24 06:45:00,146.88,146.94,146.77,146.77,3587
2022-10-24 06:40:00,147.0,147.04,147.0,147.04,1057
2022-10-24 06:35:00,146.8,147.17,146.8,147.17,4604
2022-10-24 06:30:00,146.94,147.02,146.87,146.87,1898
2022-10-24 06:25:00,147.14,147.14,146.75,146.9,8379
2022-10-24 06:20:00,146.64,147.08,146.64,147.0,8358
2022-10-24 06:15:00,146.73,146.73,146.5,146.52,6993
2022-10-24 06:10:00,146.69,146.84,146.66,146.66,3862
2022-10-24 06:05:00,146.67,146.84,146.63,146.75,9952
2022-10-24 06:00:00,146.64,146.78,146.58,146.65,10263
2022-10-24 05:55:00,146.48,146.76,146.47,146.75,6489
2022-10-24 05:50:00,146.33,146.47,146.33,146.47,5767
2022-10-24 05:45:00,146.21,146.39,146.2,146.39,2244
2022-10-24 05:40:00,146.08,146.2,146.08,146.2,603
