time,open,high,low,close,volume
2022-10-24 19:05:00,5.82,5.82,5.82,5.82,485
2022-10-24 18:55:00,5.82,5.82,5.82,5.82,100
2022-10-24 17:25:00,5.78,5.78,5.78,5.78,521
2022-10-24 16:55:00,5.74,5.74,5.74,5.74,2211
2022-10-24 16:40:00,5.78,5.78,5.74,5.74,3768
2022-10-24 16:35:00,5.78,5.79,5.77,5.79,930
2022-10-24 16:30:00,5.78,5.78,5.78,5.78,101
2022-10-24 16:20:00,5.78,5.78,5.78,5.78,102
2022-10-24 16:15:00,5.73,5.77,5.73,5.77,2568
2022-10-24 16:05:00,5.77,5.77,5.77,5.77,37932
2022-10-24 16:00:00,5.8,5.805,5.745,5.76,242564
2022-10-24 15:55:00,5.78,5.82,5.775,5.81,99783
2022-10-24 15:50:00,5.785,5.785,5.765,5.775,53307
2022-10-24 15:45:00,5.79,5.79,5.76,5.785,54698
2022-10-24 15:40:00,5.805,5.81,5.785,5.795,36914
2022-10-24 15:35:00,5.795,5.805,5.785,5.8,45225
2022-10-24 15:30:00,5.78,5.805,5.775,5.795,38357
2022-10-24 15:25:00,5.785,5.79,5.76,5.7701,44593
2022-10-24 15:20:00,5.74,5.79,5.735,5.785,47344
2022-10-24 15:15:00,5.735,5.745,5.725,5.74,32709
2022-10-24 15:10:00,5.755,5.7569,5.73,5.73,8333
2022-10-24 15:05:00,5.755,5.755,5.74,5.755,26202
2022-10-24 15:00:00,5.755,5.76,5.75,5.75,12997
2022-10-24 14:55:00,5.755,5.76,5.745,5.755,12113
2022-10-24 14:50:00,5.74,5.76,5.74,5.755,16124
2022-10-24 14:45:00,5.75,5.75,5.73,5.74,14979
2022-10-24 14:40:00,5.73,5.76,5.725,5.755,17054
2022-10-24 14:35:00,5.755,5.76,5.735,5.735,8550
2022-10-24 14:30:00,5.745,5.76,5.735,5.755,27396
2022-10-24 14:25:00,5.74,5.745,5.73,5.745,11039
2022-10-24 14:20:00,5.765,5.765,5.74,5.74,12310
2022-10-24 14:15:00,5.7611,5.77,5.7599,5.7679,16978
2022-10-24 14:10:00,5.765,5.78,5.76,5.76,10028
2022-10-24 14:05:00,5.73,5.77,5.73,5.77,22199
2022-10-24 14:00:00,5.75,5.76,5.725,5.73,20360
2022-10-24 13:55:00,5.75,5.76,5.745,5.755,8450
2022-10-24 13:50:00,5.7789,5.78,5.74,5.755,30653
2022-10-24 13:45:00,5.7554,5.786,5.7554,5.7701,20112
2022-10-24 13:40:00,5.765,5.765,5.73,5.755,36711
2022-10-24 13:35:00,5.765,5.77,5.734,5.76,33545
2022-10-24 13:30:00,5.765,5.7682,5.76,5.765,8773
2022-10-24 13:25:00,5.795,5.7999,5.755,5.76,24325
2022-10-24 13:20:00,5.805,5.805,5.79,5.79,13159
2022-10-24 13:15:00,5.82,5.82,5.8,5.8,5422
